lame pun coon,0.42105263157894735,56,133
justin bieber,0.42,42,100
babies,0.36363636363636365,36,99
cats,0.3055555555555556,55,180
trolling,0.29906542056074764,32,107
jokes,0.25190839694656486,33,131
jesus,0.24778761061946902,28,113
halloween,0.24489795918367346,24,98
america,0.22839506172839505,37,162
art,0.21487603305785125,26,121
religion,0.2018348623853211,22,109
parenting,0.17796610169491525,21,118
list,0.16161616161616163,16,99
bear grylls,0.14545454545454545,16,110
fail,0.125,8,64
philosoraptor,0.12056737588652482,34,282
dating,0.10880829015544041,21,193
spongebob squarepants,0.10833333333333334,13,120
web comics,0.09971509971509972,35,351
g rated,0.0860655737704918,21,244
christmas,0.0859375,11,128
pokémon,0.08450704225352113,24,284
sports,0.07792207792207792,6,77
money,0.07692307692307693,10,130
disney,0.07482993197278912,11,147
relationships,0.07142857142857142,14,196
tv,0.07079646017699115,8,113
lol,0.07017543859649122,8,114
funny,0.06657608695652174,49,736
me gusta,0.06626506024096386,11,166
wtf,0.06561679790026247,25,381
girls,0.06547619047619048,11,168
first world problems,0.06428571428571428,9,140
cars,0.06,6,100
gifs,0.058823529411764705,1,17
gross,0.058823529411764705,7,119
death,0.05737704918032787,7,122
food,0.05668016194331984,14,247
car,0.05454545454545454,6,110
life,0.05,5,100
grumpy cat,0.049019607843137254,5,102
comics,0.04716981132075472,5,106
school,0.046762589928057555,13,278
batman,0.046511627906976744,6,129
cartoons,0.04430379746835443,7,158
facebook,0.043478260869565216,14,322
win,0.04285714285714286,3,70
movies,0.04281345565749235,14,327
video games,0.040840140023337225,35,857
forever alone,0.0399002493765586,16,401
the internets,0.03731343283582089,5,134
irl,0.035849056603773584,19,530
music,0.035842293906810034,10,279
internet,0.03571428571428571,7,196
good guy greg,0.03571428571428571,8,224
raisins-super-fuuuu,0.03508771929824561,4,114
water,0.03409090909090909,3,88
kids,0.034055727554179564,11,323
books,0.03389830508474576,4,118
socially awkward penguin,0.03389830508474576,8,236
computers,0.032,4,125
puns,0.03197674418604651,11,344
harry potter,0.03164556962025317,5,158
skyrim,0.03007518796992481,4,133
scumbag steve,0.028901734104046242,5,173
meta,0.027586206896551724,4,145
zelda,0.02654867256637168,3,113
memes,0.026538280883043684,113,4258
star wars,0.02631578947368421,6,228
sad,0.025974025974025976,4,154
net noob,0.02586206896551724,3,116
news,0.02564102564102564,3,117
friends,0.025477707006369428,4,157
reframe,0.025477707006369428,4,157
work,0.025423728813559324,3,118
cat,0.024844720496894408,4,161
pedobear,0.023668639053254437,4,169
paranoid parrot,0.02112676056338028,3,142
science,0.020202020202020204,2,99
all the things,0.019867549668874173,3,151
joseph ducreux,0.019417475728155338,2,103
success kid,0.018518518518518517,3,162
pokémemes,0.017857142857142856,3,168
dogs,0.01749271137026239,6,343
what,0.015873015873015872,4,252
y u no guy,0.01568627450980392,4,255
insanity wolf,0.015267175572519083,2,131
troll face,0.014084507042253521,2,142
rage comics,0.01394169835234474,11,789
sex,0.013888888888888888,2,144
animals,0.013513513513513514,3,222
the most interesting man in the world,0.011976047904191617,2,167
animemes,0.011869436201780416,4,337
futurama,0.010526315789473684,1,95
zoidberg,0.00980392156862745,1,102
yo dawg,0.009708737864077669,2,206
cute,0.009615384615384616,1,104
best of week,0.008902077151335312,3,337
meme,0.00819672131147541,1,122
conspiracy keanu,0.00819672131147541,1,122
fry,0.008,2,250
superheroes,0.007751937984496124,1,129
troll,0.007633587786259542,1,131
