1,21321,22609
2,8382,22522
3,5556,22454
4,4171,22377
5,3344,22307
6,2797,22244
7,2361,22166
8,2088,22110
9,1841,22036
10,1655,21979
11,1498,21908
12,1381,21850
13,1255,21774
14,1153,21714
15,1080,21660
16,997,21589
17,923,21501
18,866,21436
19,811,21368
20,757,21298
21,709,21241
22,675,21188
23,638,21130
24,611,21070
25,572,20990
26,549,20948
27,532,20881
28,506,20785
29,487,20701
30,465,20625
31,449,20576
32,427,20483
33,416,20426
34,404,20380
35,391,20296
36,386,20283
37,370,20205
38,356,20137
39,343,20035
40,335,19982
41,326,19923
42,315,19860
43,309,19828
44,300,19765
45,286,19686
46,282,19649
47,276,19579
48,267,19521
49,262,19481
50,251,19382
51,248,19373
52,241,19301
53,238,19289
54,230,19217
55,228,19209
56,223,19160
57,217,19067
58,213,19014
60,205,18924
61,201,18867
62,198,18813
63,193,18774
64,187,18687
65,184,18642
66,182,18627
67,180,18594
68,179,18583
69,176,18544
70,172,18454
71,171,18429
72,164,18335
74,159,18232
75,156,18180
76,155,18160
77,154,18151
79,152,18131
80,149,18053
81,148,18036
82,146,18012
83,143,17960
84,142,17926
85,140,17872
86,137,17789
87,136,17741
88,134,17703
89,132,17654
91,130,17593
92,128,17543
94,126,17478
95,125,17445
96,124,17418
97,121,17317
98,119,17280
99,115,17170
101,112,17105
102,109,17047
104,105,16953
106,104,16889
107,103,16870
109,100,16768
110,98,16725
112,94,16536
115,93,16502
116,90,16405
118,88,16298
119,86,16225
120,85,16179
124,82,16104
125,81,16028
127,79,15938
131,75,15831
133,72,15663
134,70,15537
135,68,15433
136,66,15362
137,65,15315
138,64,15284
139,63,15267
140,62,15205
141,61,15161
142,59,15044
145,58,14943
147,57,14891
148,56,14852
150,55,14745
152,54,14698
155,51,14479
158,50,14408
162,49,14371
163,46,14214
165,45,14159
168,44,14090
171,42,13964
172,41,13876
173,40,13785
178,39,13674
179,38,13627
180,36,13471
187,35,13433
202,34,13341
205,33,13260
206,32,13222
210,31,13118
224,30,12973
242,29,12810
255,27,12522
257,25,12296
260,24,12191
262,23,11999
270,22,11811
283,21,11658
292,20,11420
295,18,11127
326,17,10930
333,16,10726
339,15,10520
348,14,10332
369,13,10127
371,12,9916
388,11,9725
407,10,9605
418,9,9300
419,8,8959
501,7,8764
547,6,8520
819,5,8126
937,4,7381
1057,3,6739
1684,2,6002
4562,1,4562
