jesus,0.4778761061946903,54,113
justin bieber,0.37,37,100
parenting,0.3559322033898305,42,118
babies,0.35353535353535354,35,99
dating,0.3316062176165803,64,193
relationships,0.2857142857142857,56,196
religion,0.23853211009174313,26,109
art,0.21487603305785125,26,121
halloween,0.20408163265306123,20,98
bear grylls,0.2,22,110
win,0.18571428571428572,13,70
spongebob squarepants,0.15833333333333333,19,120
grumpy cat,0.1568627450980392,16,102
wtf,0.14435695538057744,55,381
funny,0.14130434782608695,104,736
trolling,0.14018691588785046,15,107
cars,0.14,14,100
cats,0.1388888888888889,25,180
animals,0.13513513513513514,30,222
g rated,0.12704918032786885,31,244
philosoraptor,0.11702127659574468,33,282
puns,0.11627906976744186,40,344
first world problems,0.10714285714285714,15,140
lol,0.10526315789473684,12,114
news,0.09401709401709402,11,117
books,0.09322033898305085,11,118
sports,0.09090909090909091,7,77
me gusta,0.09036144578313253,15,166
web comics,0.08262108262108261,29,351
car,0.08181818181818182,9,110
computers,0.08,10,125
christmas,0.078125,10,128
fail,0.078125,5,64
money,0.07692307692307693,10,130
work,0.07627118644067797,9,118
lame pun coon,0.07518796992481203,10,133
dogs,0.0728862973760933,25,343
list,0.0707070707070707,7,99
life,0.07,7,100
food,0.06882591093117409,17,247
jokes,0.06870229007633588,9,131
facebook,0.06832298136645963,22,322
gross,0.06722689075630252,8,119
irl,0.0660377358490566,35,530
girls,0.06547619047619048,11,168
school,0.06474820143884892,18,278
batman,0.06201550387596899,8,129
america,0.06172839506172839,10,162
science,0.06060606060606061,6,99
kids,0.058823529411764705,19,323
pokémon,0.056338028169014086,16,284
internet,0.05612244897959184,11,196
disney,0.05442176870748299,8,147
tv,0.05309734513274336,6,113
cat,0.049689440993788817,8,161
death,0.04918032786885246,6,122
movies,0.04892966360856269,16,327
forever alone,0.04738154613466334,19,401
superheroes,0.046511627906976744,6,129
the internets,0.04477611940298507,6,134
cartoons,0.04430379746835443,7,158
star wars,0.043859649122807015,10,228
sad,0.03896103896103896,6,154
cute,0.038461538461538464,4,104
friends,0.03821656050955414,6,157
comics,0.03773584905660377,4,106
net noob,0.034482758620689655,4,116
animemes,0.032640949554896145,11,337
good guy greg,0.03125,7,224
memes,0.030530765617660875,130,4258
scumbag steve,0.028901734104046242,5,173
music,0.02867383512544803,8,279
paranoid parrot,0.028169014084507043,4,142
fry,0.028,7,250
what,0.027777777777777776,7,252
meta,0.027586206896551724,4,145
foul bachelor frog,0.02702702702702703,4,148
zelda,0.02654867256637168,3,113
video games,0.025670945157526253,22,857
harry potter,0.02531645569620253,4,158
yo dawg,0.024271844660194174,5,206
sex,0.020833333333333332,3,144
zoidberg,0.0196078431372549,2,102
reframe,0.01910828025477707,3,157
success kid,0.018518518518518517,3,162
the most interesting man in the world,0.017964071856287425,3,167
y u no guy,0.01568627450980392,4,255
insanity wolf,0.015267175572519083,2,131
skyrim,0.015037593984962405,2,133
all the things,0.013245033112582781,2,151
best of week,0.011869436201780416,4,337
pedobear,0.011834319526627219,2,169
water,0.011363636363636364,1,88
joseph ducreux,0.009708737864077669,1,103
raisins-super-fuuuu,0.008771929824561403,1,114
meme,0.00819672131147541,1,122
rage comics,0.0076045627376425855,6,789
troll face,0.007042253521126761,1,142
socially awkward penguin,0.00423728813559322,1,236
